caseId,group,sunDepressionDeg,targetGeometricAltitudeDeg,relativeAzimuthDeg,angularSeparationDeg,aod550,currentTwilightNl,hybridTwilightNl,absoluteTwilightNl,absoluteRelUncert,lutDirectionalRatio,currentTotalSkyMag,hybridTotalSkyMag,absoluteTotalSkyMag,currentNELM,hybridNELM,absoluteNELM,absMinusCurrentDex,absMinusCurrentNELMMag,hybMinusCurrentDex,hybMinusCurrentNELMMag
sd04p0_alt60p0_raz000p0_aod0p150,core,4,60,0,64.0,0.15,157846.61150800236,227123.724323522,2597635.3645062116,0.011104506390899313,1.6364209325108439,13.33513755051007,12.940216575168474,10.294745128576405,-0.46305211889127873,-0.8500334733855673,-3.4672361911728733,1.2163429248611575,-3.0041840722815945,0.15802723770699867,-0.3869813544942886
sd04p0_alt60p0_raz090p0_aod0p150,core,4,60,90,93.46,0.15,141949.7884793438,156899.2484894181,1794471.4395401918,0.012463519807009093,1.1304552850567782,13.450335016993924,13.341670646487849,10.69633372838935,-0.3504496899617976,-0.45666262069429064,-3.068073470277439,1.1018018008611756,-2.717623780315641,0.04348611370701683,-0.10621293073249305
sd04p0_alt60p0_raz180p0_aod0p150,core,4,60,180,124.0,0.15,136287.50923512576,149246.54000881055,1706946.6939739094,0.013337040888643532,1.0753177058128274,13.494509575819114,13.395937328048998,10.75062271800987,-0.3073064764249359,-0.4036051938199051,-3.014147977735098,1.097763904275535,-2.706841501310162,0.03944821712137614,-0.0962987173949692
sd04p0_alt90p0_raz000p0_aod0p150,core,4,90,0,94.0,0.15,138792.97179059824,137886.34031391842,1577019.0232156136,0.013367594467743146,0.9934677421703478,13.474772310093174,13.48188450037892,10.83657886759962,-0.3265804021507591,-0.3196346995258409,-2.9287861365801917,1.0554694573167964,-2.6022057344294325,-0.0028462298373623796,0.006945702624918226
sd04p0_alt90p0_raz090p0_aod0p150,core,4,90,90,94.0,0.15,138792.97179059824,138127.53993313515,1579777.645911895,0.01324800216505152,0.9952055795846273,13.474772310093174,13.479987824926095,10.834681377824497,-0.3265804021507591,-0.3214869240462871,-2.9306702532021345,1.056228489364269,-2.6040898510513752,-0.00208719778988975,0.005093478104472027
sd04p0_alt90p0_raz180p0_aod0p150,core,4,90,180,94.0,0.15,138792.97179059824,138792.97179059824,1587388.2525570774,0.013222775447108611,1.0,13.474772310093174,13.474772310093174,10.82946363107585,-0.3265804021507591,-0.3265804021507591,-2.9358512860147674,1.0583156871541588,-2.609270883864008,0.0,0.0
sd06p0_alt30p0_raz000p0_aod0p150,sensitivity-depression,6,30,0,36.0,0.15,45514.397370028215,,1046383.9496237929,0.01589587938487647,,14.68365725979677,,11.281891225831906,0.8448246896904227,,-2.4869559585454692,1.36154227257102,-3.331780648235892,,
sd06p0_alt30p0_raz090p0_aod0p150,sensitivity-depression,6,30,90,93.0,0.15,32366.4239820708,,294831.6070281517,0.01935915881220844,,15.052913143271079,,12.656935018388753,1.19800625121908,,-1.1284321105855484,0.959479320796822,-2.3264383618046285,,
sd06p0_alt30p0_raz180p0_aod0p150,sensitivity-depression,6,30,180,156.0,0.15,30599.395712598136,,195455.64362350662,0.022655077712193765,,15.113692207218598,,13.10307691583262,1.2558802438329288,,-0.6902768778411751,0.8053353648816435,-1.946157121674104,,
sd08p0_alt10p0_raz000p0_aod0p150,core,8,10,0,18.0,0.15,12353.786734886935,206886.69663351303,829942.0405126126,0.01943092465693293,42.795601759948255,16.085730330404576,13.040911110030667,11.533352815467891,2.169330033618651,-0.7512309264340334,-2.2377970774458302,1.827247664444883,-4.407127111064481,1.2239324654886072,-2.9205609600526845
sd08p0_alt10p0_raz090p0_aod0p150,core,8,10,90,91.38,0.15,6783.8614713560155,13414.342210718705,53812.6748972168,0.0299664357949722,2.7748272675962324,16.72361005732214,15.997560334389155,14.500297999685223,2.7531915566850826,2.0875432283752366,0.6685248105970226,0.8994076094001944,-2.08466674608806,0.29609241044391865,-0.665648328309846
sd08p0_alt10p0_raz180p0_aod0p150,core,8,10,180,178.0,0.15,6366.746273476427,9405.379714185054,37730.410697283165,0.035819632951956185,1.9455522815098116,16.79064297535802,16.376835287355114,14.884212189900392,2.8136631629267943,2.437575669539956,1.0369740474041191,0.7727739897658936,-1.7766891155226752,0.1694587908096179,-0.3760874933868381
sd08p0_alt30p0_raz000p0_aod0p150,core,8,30,0,38.0,0.15,7576.72239919865,35063.20321439965,140658.76103293797,0.03171592986322706,7.253008074510068,16.61955340190926,14.966254937482248,13.460081978635678,2.658964292683357,1.1153583273849272,-0.3409285324074659,1.2686854121085256,-2.9998928250908232,0.6653702131522499,-1.54360596529843
sd08p0_alt30p0_raz090p0_aod0p150,core,8,30,90,93.99,0.15,5502.565748972034,8444.71907693043,33876.64599178544,0.035933749810739664,1.746834574052602,16.962010434149985,16.503115667179994,15.00353452831897,2.96740490989956,2.553030318533889,1.150931421594524,0.7893351652620972,-1.8164734883050357,0.18601996630582152,-0.4143745913656707
sd08p0_alt30p0_raz180p0_aod0p150,core,8,30,180,158.0,0.15,5210.811098307978,7352.398187937734,29494.71596797598,0.03805968214885908,1.520882250775805,17.020174386002854,16.65179224809397,15.153493342409826,3.019297858658462,2.688203284291791,1.2937366315712668,0.7528388888389905,-1.7255612270871952,0.1495236898827148,-0.3310945743666709
sd08p0_alt60p0_raz000p0_aod0p150,core,8,60,0,68.0,0.15,5422.578805467616,7535.908568407189,30230.88210190512,0.040002233427600536,1.558842338539685,16.98194719306655,16.628453613527327,15.127588334760992,2.985209029265729,2.6670403640991025,1.269101233179931,0.7462449473053976,-1.7161077960857982,0.14292974834912187,-0.3181686651666267
sd08p0_alt60p0_raz090p0_aod0p150,core,8,60,90,96.92,0.15,4944.267789905196,4951.931953787513,19865.059363803863,0.0469954977367447,1.024333179876025,17.080888691962258,17.07923009901325,15.582199701564702,3.0733045939980657,3.0718314624050795,1.6992072070021105,0.6039878823770142,-1.3740973869959552,0.0006726834207384513,-0.001473131592986121
sd08p0_alt60p0_raz180p0_aod0p150,core,8,60,180,128.0,0.15,4767.039736405042,3996.891269623484,16033.83953630694,0.044366723639647374,0.8267779892857198,17.119966613446433,17.308303683395945,15.813932332381427,3.107976304063189,3.2740662293180374,1.916460150449376,0.5267887608727855,-1.1915161536138132,-0.07652643808349024,0.16608992525484823
sd08p0_alt90p0_raz000p0_aod0p150,core,8,90,0,98.0,0.15,4834.298108342879,4387.95603720677,17602.626202931537,0.054975807490188607,0.9076717940985423,17.105855745343302,17.209570232997873,15.71324300997904,3.095464620487571,3.187207640886269,1.8222406487326182,0.5612440389101216,-1.2732239717549527,-0.04207116004615363,0.09174302039869797
sd08p0_alt90p0_raz090p0_aod0p150,core,8,90,90,98.0,0.15,4834.298108342879,4392.999949793974,17622.86024974513,0.05260757958746839,0.9087151539564088,17.105855745343302,17.208341092739733,15.712000273180443,3.095464620487571,3.186123355981128,1.821076022688271,0.5617429694703011,-1.2743885977993,-0.041572229485975054,0.09065873549355707
sd08p0_alt90p0_raz180p0_aod0p150,core,8,90,180,98.0,0.15,4834.298108342879,4834.298108342879,19393.16206296093,0.052281348893166095,1.0,17.105855745343302,17.105855745343302,15.608434268340476,3.095464620487571,3.095464620487571,1.7238743563004593,0.6033151989562757,-1.3715902641871116,0.0,0.0
sd09p0_alt90p0_raz000p0_aod0p150,domain-probe,9,90,0,99.0,0.15,1971.563275374564,1971.563275374564,7770.352159502569,0.09247116578538256,1.0,18.05896069048025,18.05896069048025,16.596041752075777,3.9173974656489867,3.9173974656489867,2.6376150782661862,0.5956299819870394,-1.2797823873828005,0.0,0.0
sd10p0_alt90p0_raz000p0_aod0p150,domain-probe,10,90,0,100.0,0.15,780.4615668784927,780.4615668784927,3362.550839433826,0.12602555056153494,1.0,19.01351577214413,19.01351577214413,17.49373461806934,4.682648781630607,4.682648781630607,3.435875733730851,0.6343173378037021,-1.2467730478997558,0.0,0.0
sd12p0_alt90p0_raz000p0_aod0p150,domain-probe,12,90,0,102.0,0.15,78.71686716786061,78.71686716786061,683.7385543835358,0.3712793068311472,1.0,20.937895907139126,20.937895907139126,19.14543540385859,5.9801501814633555,5.9801501814633555,4.78287820760612,0.9388222680247382,-1.1972719738572355,0.0,0.0
